,Short Name,Name,Activity Type,Organization URL,Contribution Sum
0,LAM RESEARCH BELGIUM BVBA,LAM RESEARCH BELGIUM,PRC,,1706.25
1,KU Leuven,KATHOLIEKE UNIVERSITEIT LEUVEN,HES,http://www.kuleuven.be,2722.86
2,NXP,NXP SEMICONDUCTORS BELGIUM NV,PRC,,11042.56
3,AMBEL,APPLIED MATERIALS BELGIUM,PRC,,15082.94
4,SIRRIS LE CENTRE COLLECTIF DE L'INDUSTRIE TECHNOLOGIQUE,SIRRIS HET COLLECTIEF CENTRUM VAN DE TECHNOLOGISCHE INDUSTRIE,REC,www.sirris.be,17635.19
5,ICOS,ICOS VISION SYSTEMS NV,PRC,www.kla-tencor.com,25972.5
6,SIRRIS LE CENTRE COLLECTIF DE L'INDUSTRIE TECHNOLOGIQUE,SIRRIS HET COLLECTIEF CENTRUM VAN DE TECHNOLOGISCHE INDUSTRIE,REC,www.sirris.be,31153.94
7,SIRRIS LE CENTRE COLLECTIF DE L'INDUSTRIE TECHNOLOGIQUE,SIRRIS HET COLLECTIEF CENTRUM VAN DE TECHNOLOGISCHE INDUSTRIE,REC,www.sirris.be,36011.5
8,LAM RESEARCH BELGIUM BVBA,LAM RESEARCH BELGIUM,PRC,,38023.0
9,MLX NV,MELEXIS,PRC,,38787.5
10,YAZZOOM,YAZZOOM BVBA,PRC,,43473.75
11,HAVELLS SYLVANIA LIGHTING BELGIUM,HAVELLS SYLVANIA LIGHTING BELGIUM,PRC,,49237.5
12,ASMB,ASM BELGIUM NV,PRC,,58300.88
13,AMBEL,APPLIED MATERIALS BELGIUM,PRC,,68149.45
14,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,68971.25
15,,EVENTIGRATE,PRC,,69751.0
16,AMBEL,APPLIED MATERIALS BELGIUM,PRC,,71562.43
17,SIRRIS LE CENTRE COLLECTIF DE L'INDUSTRIE TECHNOLOGIQUE,SIRRIS HET COLLECTIEF CENTRUM VAN DE TECHNOLOGISCHE INDUSTRIE,REC,www.sirris.be,73972.94
18,C-CAM,VECTOR INTERNATIONAL,PRC,www.c-cam.be,77988.0
19,Qplox,QPLOX ENGINEERING,PRC,,81160.0
20,UCL,UNIVERSITE CATHOLIQUE DE LOUVAIN,HES,http://www.uclouvain.be,84906.25
21,MELEXIS,MELEXIS TECHNOLOGIES,PRC,,86162.5
22,HEM,HENKEL ELECTRONIC MATERIALS BELGIUMNV,PRC,,88103.44
23,JSR MICRO NV,JSR MICRO NV,PRC,,92061.0
24,JSR MICRO NV,JSR MICRO NV,PRC,,95259.0
25,SISW,SIEMENS INDUSTRY SOFTWARE NV,PRC,http://www.plm.automation.siemens.com,102894.69
26,TML,TRANSPORT & MOBILITY LEUVEN NV,PRC,www.tmleuven.be,103413.0
27,JSR MICRO NV,JSR MICRO NV,PRC,,106863.75
28,RSS,RSSCAN INTERNATIONAL NV,PRC,www.rsscan.com,109489.0
